INFO 2025-04-27 22:38:46,260 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-27 22:38:46,424 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1732347812.4469442
DEBUG 2025-04-27 22:38:46,424 autoreload File E:\python3_7_9\Lib\site-packages\django\forms\widgets.py first seen with mtime 1732347814.799612
DEBUG 2025-04-27 22:38:46,424 autoreload File E:\python3_7_9\Lib\_bootlocale.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,424 autoreload File E:\python3_7_9\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1732347814.7647097
DEBUG 2025-04-27 22:38:46,424 autoreload File E:\python3_7_9\Lib\site-packages\win32\lib\pywin32_bootstrap.py first seen with mtime 1700231846.8377619
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\decorators.py first seen with mtime 1732347814.8948517
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\matplotlib\scale.py first seen with mtime 1696915582.845775
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1692672925.416192
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1732347814.7263865
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1732347814.7836542
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1732347813.0535593
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\numpy\lib\shape_base.py first seen with mtime 1693740664.6563096
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\socket.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\_string_helpers.py first seen with mtime 1693740664.435199
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1693740664.6852326
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1732347812.4569178
DEBUG 2025-04-27 22:38:46,425 autoreload File E:\python3_7_9\Lib\site-packages\numpy\random\_philox.cp37-win_amd64.pyd first seen with mtime 1693740664.7529137
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1692672925.3870778
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\matplotlib\docstring.py first seen with mtime 1696915582.8238318
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\django\templatetags\static.py first seen with mtime 1732347814.8582115
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\numpy\random\mtrand.cp37-win_amd64.pyd first seen with mtime 1693740664.762903
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\packaging\version.py first seen with mtime 1702223643.934913
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1732347814.7696917
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\DLLs\_lzma.pyd first seen with mtime 1597661966.0
DEBUG 2025-04-27 22:38:46,426 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1732347814.912227
DEBUG 2025-04-27 22:38:46,427 autoreload File E:\python3_7_9\Lib\concurrent\futures\__init__.py first seen with mtime 1597658264.0
